Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
-1,-1,1,0,0,0,0,-3,2021-06-14 15:37:19.122
0,-3,-1,0,-1,0,0,-1,2021-06-14 15:37:19.148
0,-1,-2,-3,-1,-1,-2,0,2021-06-14 15:37:19.166
-2,-2,-1,1,0,-1,0,-3,2021-06-14 15:37:19.182
-1,1,2,1,-2,-2,-1,-1,2021-06-14 15:37:19.198
0,0,-1,-2,-1,-1,-2,-1,2021-06-14 15:37:19.216
-1,0,0,1,0,0,-3,-2,2021-06-14 15:37:19.253
-2,-1,0,1,0,-1,0,-1,2021-06-14 15:37:19.265
1,-2,0,-2,-1,0,0,-1,2021-06-14 15:37:19.308
1,-2,0,-2,-1,0,0,-1,2021-06-14 15:37:19.320
-1,1,-2,-1,0,0,0,-2,2021-06-14 15:37:19.334
-1,-2,-1,0,-1,1,-1,-1,2021-06-14 15:37:19.351
-1,-2,0,1,-1,0,1,0,2021-06-14 15:37:19.367
-1,0,-3,-1,0,0,-1,-1,2021-06-14 15:37:19.384
-1,0,-3,-1,0,0,-1,-1,2021-06-14 15:37:19.401
-1,-1,0,-1,-1,1,-3,-2,2021-06-14 15:37:19.417
0,-1,0,-1,-1,-1,1,0,2021-06-14 15:37:19.434
0,0,-2,-1,0,-1,-1,0,2021-06-14 15:37:19.450
-2,-2,0,-2,-1,2,0,-2,2021-06-14 15:37:19.469
-1,-1,1,-1,0,-1,0,0,2021-06-14 15:37:19.501
2,9,3,0,-2,-1,-1,-1,2021-06-14 15:37:19.516
-1,-4,-2,-1,-1,0,0,2,2021-06-14 15:37:19.534
0,-1,-3,-2,1,-2,0,0,2021-06-14 15:37:19.549
-3,-3,-3,-1,0,-1,-1,0,2021-06-14 15:37:19.566
1,-3,-3,0,-1,0,-1,1,2021-06-14 15:37:19.589
-1,-1,-2,-1,0,-3,-1,0,2021-06-14 15:37:19.599
-1,-1,-1,-2,0,0,1,-2,2021-06-14 15:37:19.617
-1,0,-1,-2,-2,1,-1,-1,2021-06-14 15:37:19.633
-2,-2,-2,0,-1,0,0,-1,2021-06-14 15:37:19.650
-2,-2,-2,0,-1,0,0,-1,2021-06-14 15:37:19.667
-1,-1,-1,-2,-1,-2,-1,1,2021-06-14 15:37:19.683
1,0,-1,0,-1,-2,0,-3,2021-06-14 15:37:19.716
-1,0,-1,-1,0,-1,-1,-1,2021-06-14 15:37:19.733
0,0,-1,0,0,-1,-2,-1,2021-06-14 15:37:19.751
-3,-2,0,-1,-3,-2,-2,-1,2021-06-14 15:37:19.766
-3,-2,0,-1,-3,-2,-2,-1,2021-06-14 15:37:19.783
-1,0,-2,-1,-1,0,0,-1,2021-06-14 15:37:19.800
0,0,-1,0,1,0,-2,1,2021-06-14 15:37:19.818
0,0,0,-1,-1,0,-1,-1,2021-06-14 15:37:19.835
0,-1,0,0,-1,-1,-1,1,2021-06-14 15:37:19.853
0,-2,-2,-1,-1,-1,0,0,2021-06-14 15:37:19.868
-2,-2,-2,-1,-2,1,0,-1,2021-06-14 15:37:19.886
-1,-1,-1,0,-1,-2,0,0,2021-06-14 15:37:19.917
-1,-1,-2,-2,-1,-1,-1,-3,2021-06-14 15:37:19.934
-1,-1,-2,-2,-1,-1,-1,-3,2021-06-14 15:37:19.950
-1,-2,-1,-1,0,2,-1,-3,2021-06-14 15:37:19.966
-2,0,-1,1,-3,-1,-1,-2,2021-06-14 15:37:19.985
1,0,-1,0,-2,-1,1,0,2021-06-14 15:37:20.000
-1,0,0,-1,-1,0,-3,0,2021-06-14 15:37:20.017
1,-2,-1,-1,0,-2,0,0,2021-06-14 15:37:20.034
0,0,-1,-3,-2,0,1,2,2021-06-14 15:37:20.052
0,0,-1,-3,-2,0,1,2,2021-06-14 15:37:20.066
1,0,1,-2,0,-2,0,-1,2021-06-14 15:37:20.084
-1,0,-1,1,-1,-1,0,-1,2021-06-14 15:37:20.102
0,-1,1,0,0,-2,-1,1,2021-06-14 15:37:20.134
-1,-2,-1,-2,-1,-1,-1,0,2021-06-14 15:37:20.149
-2,-2,-1,0,0,0,-1,-2,2021-06-14 15:37:20.166
0,-1,-1,-1,0,-1,-2,-1,2021-06-14 15:37:20.182
-1,1,1,-1,-1,0,1,-1,2021-06-14 15:37:20.201
-2,0,0,1,0,-2,-1,-2,2021-06-14 15:37:20.217
0,-1,-1,-2,-2,0,-1,-1,2021-06-14 15:37:20.235
0,-1,-1,-2,-2,0,-1,-1,2021-06-14 15:37:20.250
-1,0,0,0,-1,-2,0,-1,2021-06-14 15:37:20.266
-1,-2,0,-2,-1,-2,-2,-1,2021-06-14 15:37:20.284
0,-3,-1,-1,-1,-1,-1,-1,2021-06-14 15:37:20.300
-2,-1,-3,-1,-1,0,0,-1,2021-06-14 15:37:20.316
-2,-1,-2,-4,-3,0,1,-2,2021-06-14 15:37:20.351
-2,1,-1,0,0,-1,-1,-1,2021-06-14 15:37:20.367
-13,-4,1,1,1,1,2,1,2021-06-14 15:37:20.384
1,-1,-2,-2,-1,-1,-1,-1,2021-06-14 15:37:20.399
-1,0,-3,-1,-2,-3,-1,-2,2021-06-14 15:37:20.417
3,0,0,-2,0,1,-1,1,2021-06-14 15:37:20.444
